,Feature,h1_gain,h2_gain,h3_gain,h4_gain,h5_gain,h6_gain,h7_gain,agg_gain,total_gain
25,ewm_ewma14_acled_other_ua_armed_clash_pastcov_lag-1,549.7193587287329,309.5939929112792,519.6877558997367,1342.087000966072,1327.102532135148,1166.7004871554673,467.59040804952383,811.7830765494228,6494.264612395383
26,rolling_rsum14_14_acled_other_rus_armed_clash_pastcov_lag-1,1031.9769740104675,682.6921105384827,478.2682104110718,944.2948471307755,665.9404862821102,878.3389172554016,967.30100440979,806.9732214340141,6455.785771472113
27,env_weather_wind_speed_10m_mean_futcov_lag5,568.3662215471268,707.5252093970776,1082.4329693317413,896.9270162582397,1009.3615944981575,689.1163131712237,679.0560492873192,804.6836247844122,6437.468998275298
28,env_weather_wind_speed_10m_max_futcov_lag5,887.1396114826202,738.718715429306,835.9411225318909,906.2624920681119,383.53767108917236,1093.9053321514511,785.837088637054,804.4774333413724,6435.819466730979
29,env_weather_wind_direction_10m_dominant_futcov_lag5,825.6599110877141,1057.103403687477,734.7810094952583,623.3263300657272,658.9567584395409,949.0711958110332,754.7123903930187,800.51585699711,6404.12685597688
30,ewm_ewma14_act_drone_infra_ua_residential_unintent_pastcov_lag-1,566.3538058493286,728.2758720256388,578.495323789306,616.6968111693859,867.4978870813502,864.8296142326435,1245.59241373837,781.1059611265747,6248.847689012598
31,rolling_rmean7_7_fin_usd_rub_rate_pastcov_lag-1,33.5939804315567,267.5287444591522,2900.3373460769653,156.09038925170898,909.440957069397,572.0316227301955,564.5715487496927,771.9420841098098,6175.536672878478
32,rolling_rsum14_14_dist_to_nearest_contested_km_pastcov_lag-1,877.2925352896564,823.9077015668154,788.9054176211357,627.256427384913,886.6954575814307,603.2887694071978,762.4008455904041,767.1067363487933,6136.853890790347
33,env_weather_wind_gusts_10m_max_futcov_lag5,709.8870089054108,807.7929403781891,415.96635127067566,626.8487975820899,894.0039185136557,856.5277988878079,1047.7775874435902,765.5434861402027,6124.347889121622
34,rolling_rmean7_7_dist_to_nearest_ru_km_pastcov_lag-1,1014.0815653279424,1054.8740269467235,66.08988444018178,519.3487256367225,295.8789864266291,1392.858168849256,1008.8887068629265,764.5742949271973,6116.594359417579
35,env_weather_wind_direction_10m_dominant_futcov_lag1,688.5867763757706,660.9456836283207,466.95250902324915,627.8648945391178,528.9592922329903,940.4121269583702,1426.942820565775,762.9520147605134,6103.616118084107
36,env_weather_wind_speed_10m_max_futcov_lag2,853.3714900016785,709.6183716058731,924.0437929928303,654.7421329282224,540.7932457923889,550.7180414348841,1087.4325079917908,760.1027975353811,6080.822380283049
37,env_weather_wind_direction_10m_dominant_futcov_lag0,612.7800841331482,775.5942256636918,625.3450144797389,392.7200028896332,1103.7523008710705,946.963001281023,859.2143845707178,759.4812876984319,6075.850301587455
38,env_weather_wind_speed_10m_max_futcov_lag6,457.7323867082596,824.8822295253631,820.7867674827576,540.0553259849548,1235.6214575916529,589.6758533930406,840.6296546459198,758.4833821902783,6067.867057522227
39,act_drone_strike_on_ua_binary_target_lag-2,319.27314323186874,418.88773861527443,129.00711107254028,54.36898475885391,69.23667937517166,3976.000225663185,320.15137392282486,755.275036662817,6042.200293302536
40,env_weather_wind_gusts_10m_max_futcov_lag2,590.4304033517838,729.0592762231827,1288.410105317831,436.34816542454064,532.5487699508667,805.1021503508091,897.3058886821382,754.1721084715931,6033.376867772745
41,env_weather_soil_moisture_0_to_100cm_mean_futcov_lag-2,563.6337503599934,623.8687313909177,1227.5891183663625,1191.9695154875517,274.0635381322354,544.1291918728966,846.1590836942196,753.0589899005967,6024.471919204773
42,env_weather_wind_speed_10m_max_futcov_lag1,947.2339823059738,889.851687759161,550.663600564003,674.9521107338369,577.1872329451144,1224.5571582145058,381.644161939621,749.441419208888,5995.531353671104
43,env_weather_wind_speed_10m_mean_futcov_lag6,306.62225011363626,860.0460306220921,659.8600121960044,960.4995730817318,714.444173425436,995.6235103607178,697.518054485321,742.0876577549914,5936.701262039931
